MOTOR,Throttle,ESC throttle (us),Voltage,Current,Thrust,Torque,RPM,Electrical power (W),Mechanical power (W),Motor & ESC efficiency (%),Propeller efficiency (gf/W),Powertrain efficiency (gf/W)
A-4220-540kv,0.618,1236 ,23.86 ,2.95 ,0.57 ,0.16 ,2944 ,70.32 ,49.36 ,70.20 ,11.52 ,8.09 
ESC,0.665,1330 ,23.84 ,6.29 ,1.03 ,0.28 ,3909 ,149.97 ,115.44 ,76.97 ,8.94 ,6.88 
,0.7045,1409 ,23.80 ,10.48 ,1.49 ,0.41 ,4678 ,249.31 ,199.68 ,80.09 ,7.46 ,5.98 
Tribunus III 06-110A,0.745,1490 ,23.72 ,16.38 ,2.04 ,0.56 ,5434 ,388.62 ,318.78 ,82.03 ,6.40 ,5.25 
,0.7795,1559 ,23.65 ,22.75 ,2.56 ,0.70 ,6040 ,538.03 ,444.97 ,82.90 ,5.75 ,4.75 
PROP,0.8065,1613 ,23.56 ,28.76 ,2.98 ,0.83 ,6502 ,677.49 ,563.16 ,83.13 ,5.30 ,4.40 
,0.836,1672 ,23.43 ,36.09 ,3.45 ,0.96 ,6968 ,845.47 ,702.61 ,83.10 ,4.91 ,4.08 
Falcon 15x10E,0.871,1742 ,23.29 ,46.50 ,4.03 ,1.14 ,7504 ,1082.93 ,896.74 ,82.81 ,4.50 ,3.73 
,0.9005,1801 ,23.15 ,56.31 ,4.48 ,1.29 ,7921 ,1303.60 ,1072.40 ,82.26 ,4.18 ,3.44 
Battery,0.931,1862 ,22.98 ,67.99 ,4.96 ,1.46 ,8321 ,1562.11 ,1270.40 ,81.43 ,3.90 ,3.17 
,1,2000 ,22.62 ,97.10 ,5.69 ,1.84 ,8999 ,2196.26 ,1737.49 ,79.11 ,3.27 ,2.59 
6s Lipo,,PEAK THRUST,,,,,,,,,,
,,2000 ,22.92 ,101.20 ,5.92 ,1.92 ,9204 ,2319.51 ,1852.86 ,78.78 ,3.20 ,2.55 
