Throttle,Voltage,Current,Power,Rpm,Torque,Thrust,Efficiency
0.4,15.10,11.63,175.60,8205,0.141,868,4.94
0.45,15.06,13.82,208.07,8704,0.160,978,4.70
0.5,15.03,15.84,238.11,9162,0.177,1085,4.55
0.55,14.99,18.17,272.26,9519,0.195,1179,4.33
0.6,14.95,20.40,304.98,9844,0.213,1255,4.11
0.65,14.91,22.93,341.80,10207,0.234,1354,3.96
0.7,14.85,26.00,386.18,10630,0.258,1463,3.79
0.75,14.78,30.26,447.22,11085,0.289,1611,3.60
0.8,14.71,34.78,511.54,11611,0.320,1760,3.44
0.9,14.54,45.13,656.04,12479,0.379,2044,3.12
1.0,14.46,49.57,716.86,12788,0.402,2152,3.00
